ds,y,y_smooth
2017-10-14,16185.46,25584.575714285715
2017-10-15,21353.84,25812.795714285712
2017-10-16,35315.42,25819.917142857146
2017-10-17,35288.18,26209.79
2017-10-18,31793.670000000002,27006.774285714288
2017-10-19,26988.8,27645.041428571425
2017-10-20,21979.2,26986.367142857143
2017-10-21,18022.3,27248.772857142856
2017-10-22,23273.05,27522.945714285717
2017-10-23,25993.41,26191.23
2017-10-24,25739.27,24827.100000000002
2017-10-25,21470.53,23352.365714285716
2017-10-26,26415.55,23270.472857142857
2017-10-27,23488.17,23486.04
2017-10-28,20572.64,23850.374285714286
2017-10-29,20444.68,23446.321428571428
2017-10-30,23741.86,23124.67142857143
2017-10-31,27058.22,23313.092857142856
2017-11-01,22702.16,23489.04
2017-11-02,25017.16,23289.27
2017-11-03,27058.52,23799.32
2017-11-04,22294.81,24045.344285714287
2017-11-05,21752.57,24232.18571428571
2017-11-06,33945.14,25689.797142857144
2017-11-07,24945.21,25387.93857142857
2017-11-08,23436.7,25492.872857142855
2017-11-09,29175.83,26086.96857142857
2017-11-10,23676.7,25603.85142857143
2017-11-11,27578.63,26358.682857142856
2017-11-12,26725.08,27069.04142857143
2017-11-13,29606.24,26449.198571428573
2017-11-14,32012.6,27458.825714285715
2017-11-15,27683.35,28065.49
2017-11-16,33063.27,28620.838571428572
2017-11-17,35386.84,30293.71571428571
2017-11-18,27968.57,30349.42142857143
2017-11-19,23312.6,29861.92428571428
2017-11-20,50621.24,32864.067142857144
2017-11-21,39831.85,33981.102857142854
2017-11-22,30721.62,34415.14142857143
2017-11-23,52584.62,37203.90571428571
2017-11-24,179200.03,57748.647142857146
2017-11-25,71897.01,64024.138571428564
2017-11-26,53939.87,68399.46285714286
2017-11-27,56966.28,69305.89714285715
2017-11-28,56708.409999999996,71716.83428571429
2017-11-29,48043.16,74191.34
2017-11-30,37026.73,71968.78428571428
2017-12-01,46080.840000000004,52951.75714285714
2017-12-02,35908.51,47810.542857142864
2017-12-03,34803.19,45076.73142857144
2017-12-04,56225.41,44970.892857142855
2017-12-05,40707.77,42685.08714285715
2017-12-06,46149.63,42414.58285714286
2017-12-07,33664.2,41934.22142857143
2017-12-08,35160.82,40374.218571428566
2017-12-09,23639.52,38621.50571428571
2017-12-10,29784.26,37904.51571428571
2017-12-11,39415.43,35503.090000000004
2017-12-12,40370.39,35454.892857142855
2017-12-13,34385.08,33774.24285714286
2017-12-14,30754.31,33358.544285714284
2017-12-15,31451.63,32828.659999999996
2017-12-16,22907.05,32724.02142857143
2017-12-17,22106.0,31627.127142857145
2017-12-18,33898.13,30838.941428571427
2017-12-19,24494.28,28570.925714285717
2017-12-20,32004.68,28230.86857142857
2017-12-21,21546.44,26915.45857142857
2017-12-22,18073.47,25004.292857142857
2017-12-23,16425.64,24078.377142857145
2017-12-24,6960.79,21914.77571428571
2017-12-25,12662.23,18881.075714285715
2017-12-26,23797.46,18781.53
2017-12-27,21074.29,17220.045714285716
2017-12-28,17793.85,16683.96142857143
2017-12-29,20552.64,17038.12857142857
2017-12-30,15412.61,16893.41
2017-12-31,10190.93,17354.85857142857
2018-01-01,8486.29,16758.295714285716
2018-01-02,29494.74,17572.192857142858
2018-01-03,37154.62,19869.382857142857
2018-01-04,40998.15,23184.282857142858
2018-01-05,32341.95,24868.47
2018-01-06,32711.84,27339.788571428573
2018-01-07,33993.48,30740.152857142857
2018-01-08,45310.6,36000.76857142857
2018-01-09,35440.0,36850.09142857143
2018-01-10,44824.93,37945.85
2018-01-11,46746.38,38767.025714285715
2018-01-12,37270.23,39471.065714285716
2018-01-13,33222.38,39544.0
2018-01-14,35993.46,39829.71142857143
2018-01-15,45208.29,39815.095714285715
2018-01-16,51339.38,42086.43571428571
2018-01-17,42151.92,41704.57714285714
2018-01-18,33038.69,39746.33571428571
2018-01-19,35649.63,39514.82142857143
2018-01-20,26960.0,38620.19571428571
2018-01-21,28447.420000000002,37542.19
2018-01-22,43867.89,37350.70428571429
2018-01-23,40298.33,35773.41142857143
2018-01-24,37025.23,35041.02714285714
2018-01-25,35335.98,35369.21142857143
2018-01-26,39308.94,35891.969999999994
2018-01-27,25106.77,35627.22285714286
2018-01-28,27804.9,35535.434285714284
2018-01-29,36056.52,34419.524285714295
2018-01-30,35523.61,33737.42142857143
2018-01-31,37891.63,33861.19285714286
2018-02-01,35767.92,33922.898571428566
2018-02-02,32532.45,32954.82857142857
2018-02-03,27572.17,33307.02857142857
2018-02-04,28261.91,33372.315714285716
2018-02-05,43196.97,34392.38
2018-02-06,40066.42,35041.352857142854
2018-02-07,36529.71,34846.79285714286
2018-02-08,31911.010000000002,34295.805714285714
2018-02-09,35374.19,34701.76857142857
2018-02-10,25265.32,34372.21857142857
2018-02-11,26129.46,34067.58285714286
2018-02-12,27990.55,31895.237142857142
2018-02-13,29024.17,30317.772857142856
2018-02-14,43643.36,31334.00857142857
2018-02-15,39224.75,32378.82857142857
2018-02-16,31867.47,31877.86857142857
2018-02-17,29611.55,32498.75857142857
2018-02-18,29071.93,32919.11142857143
2018-02-19,33735.96,33739.88428571429
2018-02-20,42706.69,35694.53
2018-02-21,38017.26,34890.80142857143
2018-02-22,38784.23,34827.87
2018-02-23,33072.96,35000.08285714286
2018-02-24,28341.36,34818.62714285714
2018-02-25,34930.88,35655.62
2018-02-26,50433.96,38041.048571428575
2018-02-27,47076.99,38665.37714285714
2018-02-28,52321.74,40708.874285714286
2018-03-01,46747.4,41846.47000000001
2018-03-02,37550.31,42486.09142857143
2018-03-03,31781.79,42977.58142857143
2018-03-04,37479.8,43341.712857142855
2018-03-05,45635.61,42656.23428571429
2018-03-06,45971.24,42498.270000000004
2018-03-07,42513.19,41097.04857142857
2018-03-08,33842.12,39253.43714285714
2018-03-09,33823.07,38720.974285714285
2018-03-10,31105.0,38624.29
2018-03-11,36618.35,38501.22571428572
2018-03-12,35930.89,37114.83714285714
2018-03-13,42179.58,36573.17142857143
2018-03-14,28417.25,34559.46571428572
2018-03-15,51935.36,37144.21428571428
2018-03-16,38760.36,37849.54142857143
2018-03-17,24000.21,36834.57142857143
2018-03-18,36076.38,36757.147142857146
2018-03-19,52707.31,39153.77857142857
2018-03-20,42887.93,39254.97142857143
2018-03-21,46482.09,41835.66285714286
2018-03-22,36989.79,39700.58142857143
2018-03-23,34817.72,39137.34714285714
2018-03-24,27711.420000000002,39667.520000000004
2018-03-25,30192.8,38827.008571428574
2018-03-26,42745.23,37403.85428571428
2018-03-27,40633.58,37081.80428571429
2018-03-28,35150.72,35463.037142857145
2018-03-29,33564.47,34973.705714285716
2018-03-30,26279.75,33753.99571428572
2018-03-31,29121.4,33955.42142857143
2018-04-01,34189.0,34526.30714285714
2018-04-02,48076.45,35287.909999999996
2018-04-03,42187.32,35509.87285714286
2018-04-04,43567.82,36712.315714285716
2018-04-05,42219.17,37948.701428571425
2018-04-06,32285.36,38806.64571428572
2018-04-07,29014.86,38791.42571428571
2018-04-08,27883.61,37890.65571428572
2018-04-09,55782.82,38991.56571428571
2018-04-10,32535.28,37612.70285714285
2018-04-11,47204.47,38132.224285714285
2018-04-12,39945.38,37807.39714285714
2018-04-13,36440.53,38400.99285714286
2018-04-14,22397.87,37455.708571428564
2018-04-15,36564.19,38695.791428571436
2018-04-16,47364.65,37493.19571428571
2018-04-17,42814.25,38961.62
2018-04-18,46308.65,38833.64571428572
2018-04-19,50326.53,40316.66714285714
2018-04-20,32841.64,39802.54
2018-04-21,22465.89,39812.25714285714
2018-04-22,31991.79,39159.05714285715
2018-04-23,44363.29,38730.291428571436
2018-04-24,49905.02,39743.258571428574
2018-04-25,47356.49,39892.95
2018-04-26,36912.77,37976.69857142858
2018-04-27,46764.3,39965.65
2018-04-28,26978.52,40610.311428571425
2018-04-29,23060.95,39334.47714285715
2018-04-30,41036.61,38859.23714285714
2018-05-01,39274.26,37340.55714285715
2018-05-02,44908.63,36990.862857142856
2018-05-03,50218.85,38891.73142857143
2018-05-04,45494.1,38710.27428571428
2018-05-05,32640.67,39519.15285714286
2018-05-06,33099.31,40953.20428571429
2018-05-07,62568.25,44029.15285714286
2018-05-08,55129.38,46294.16999999999
2018-05-09,51096.82,47178.197142857134
2018-05-10,58871.87,48414.34285714286
2018-05-11,43346.5,48107.542857142864
2018-05-12,34883.12,48427.892857142855
2018-05-13,36320.07,48888.00142857143
2018-05-14,62230.729999999996,48839.78428571428
2018-05-15,49505.99,48036.44285714285
2018-05-16,64742.06,49985.76285714286
2018-05-17,36258.36,46755.26142857142
2018-05-18,36429.77,45767.15714285714
2018-05-19,28319.73,44829.52999999999
2018-05-20,23086.12,42938.96571428572
2018-05-21,30619.940000000002,38423.138571428564
2018-05-22,32070.66,35932.37714285714
2018-05-23,20262.3,29578.125714285714
2018-05-24,22278.7,27581.03142857143
2018-05-25,18286.32,24989.110000000004
2018-05-26,16914.09,23359.73285714286
2018-05-27,14693.68,22160.812857142857
2018-05-28,30304.95,22115.81428571429
2018-05-29,29441.33,21740.195714285714
2018-05-30,22529.07,22064.02
2018-05-31,28156.52,22903.708571428575
2018-06-01,37284.05,25617.670000000002
2018-06-02,28939.99,27335.655714285713
2018-06-03,33024.44,29954.33571428572
2018-06-04,34326.4,30528.828571428574
2018-06-05,36471.22,31533.098571428574
2018-06-06,32176.98,32911.37142857143
2018-06-07,42676.38,34985.637142857144
2018-06-08,31797.2,34201.80142857143
2018-06-09,34033.78,34929.485714285714
2018-06-10,30295.41,34539.624285714286
2018-06-11,57345.56,37828.07571428571
2018-06-12,46762.43,39298.24857142857
2018-06-13,41586.61,40642.48142857143
2018-06-14,32707.21,39218.31428571429
2018-06-15,31498.76,39175.68
2018-06-16,29000.08,38456.58
2018-06-17,20751.52,37093.16714285714
2018-06-18,41027.07,34761.95428571429
2018-06-19,40013.6,33797.83571428571
2018-06-20,34330.26,32761.214285714286
2018-06-21,33301.99,32846.182857142856
2018-06-22,28753.149999999998,32453.95285714286
2018-06-23,21181.11,31336.95714285714
2018-06-24,29498.57,32586.535714285714
2018-06-25,42008.02,32726.671428571426
2018-06-26,37673.67,32392.395714285707
2018-06-27,32920.9,32191.058571428573
2018-06-28,38773.74,32972.73714285714
2018-06-29,25098.69,32450.671428571426
2018-06-30,18621.71,32085.042857142857
2018-07-01,29060.7,32022.489999999998
2018-07-02,29422.43,30224.54857142857
2018-07-03,31454.6,29336.109999999997
2018-07-04,41579.8,30573.09571428571
2018-07-05,33949.5,29883.91857142857
2018-07-06,22108.67,29456.772857142856
2018-07-07,11277.24,28407.562857142857
2018-07-08,17554.72,26763.851428571426
2018-07-09,23122.17,25863.81428571429
2018-07-10,22694.45,24612.364285714284
2018-07-11,22148.64,21836.484285714287
2018-07-12,35228.7,22019.227142857144
2018-07-13,32635.239999999998,23523.022857142852
2018-07-14,26427.02,25687.277142857143
2018-07-15,34489.4,28106.51714285714
2018-07-16,37854.659999999996,30211.158571428572
2018-07-17,35758.42,32077.44
2018-07-18,51392.43,36255.124285714286
2018-07-19,44911.25,37638.345714285715
2018-07-20,38131.01,38423.455714285716
2018-07-21,25508.97,38292.305714285714
2018-07-22,32962.26,38074.142857142855
2018-07-23,48104.33,39538.381428571425
2018-07-24,48154.03,41309.18285714286
2018-07-25,47917.71,40812.794285714284
2018-07-26,41784.74,40366.15000000001
2018-07-27,33331.12,39680.45142857143
2018-07-28,30168.170000000002,40346.05142857142
2018-07-29,36468.26,40846.90857142857
2018-07-30,46288.01,40587.434285714284
2018-07-31,54652.1,41515.729999999996
2018-08-01,48850.81,41649.02999999999
2018-08-02,45932.7,42241.595714285715
2018-08-03,49517.59,44553.94857142858
2018-08-04,41239.97,46135.63428571429
2018-08-05,42272.07,46964.75
2018-08-06,65860.43,49760.81
2018-08-07,62057.770000000004,50818.76285714285
2018-08-08,51463.76,51192.041428571436
2018-08-09,47261.68,51381.89571428572
2018-08-10,40690.26,50120.84857142857
2018-08-11,31277.25,48697.60285714286
2018-08-12,36739.75,47907.27142857143
2018-08-13,48163.76,45379.17571428571
2018-08-14,51574.67,43881.590000000004
2018-08-15,53322.7,44147.15285714286
2018-08-16,42581.08,43478.49571428572
2018-08-17,40872.77,43504.56857142857
2018-08-18,29695.07,43278.54285714286
2018-08-19,29989.35,42314.200000000004
2018-08-20,40352.47,41198.30142857142
2018-08-21,31479.9,38327.62
2018-08-22,24401.84,34196.06857142857
2018-08-23,19737.72,30932.73142857143
2018-08-24,11450.76,26729.58714285714
2018-08-25,11737.76,24164.257142857143
2018-08-26,9304.0,21209.207142857143
2018-08-27,6229.95,16334.56142857143
2018-08-28,5216.72,12582.67857142857
2018-08-29,2381.83,9436.962857142858
2018-08-30,705.04,6718.008571428572
2018-08-31,63.89,5091.312857142858
2018-09-01,0.0,3414.4900000000002
2018-09-02,0.0,2085.347142857143
2018-09-03,458.64,1260.8742857142856
2018-09-04,0.0,515.6285714285714
2018-09-05,0.0,175.36714285714285
2018-09-06,2443.2000000000003,423.6757142857144
2018-09-07,0.0,414.54857142857145
2018-09-08,0.0,414.54857142857145
2018-09-09,0.0,414.54857142857145
2018-09-10,51.17,356.3385714285714
2018-09-11,258.67,393.2914285714286
2018-09-12,84.58,405.3742857142857
2018-09-13,414.04,115.49428571428572
2018-09-14,0.0,115.49428571428572
2018-09-15,0.0,115.49428571428572
2018-09-16,0.0,115.49428571428572
2018-09-17,84.58,120.26714285714287
2018-09-18,0.0,83.31428571428572
2018-09-19,0.0,71.23142857142857
2018-09-20,191.46,39.434285714285714
2018-09-21,0.0,39.434285714285714
2018-09-22,0.0,39.434285714285714
2018-09-23,0.0,39.434285714285714
2018-09-24,0.0,27.351428571428578
2018-09-25,221.54,59.0
2018-09-26,94.63,72.51857142857143
2018-09-27,0.0,45.16714285714285
2018-09-28,0.0,45.16714285714285
2018-09-29,137.03,64.74285714285715
2018-09-30,0.0,64.74285714285715
2018-10-01,80.38,76.22571428571428
2018-10-02,0.0,44.57714285714286
2018-10-03,197.55,59.28000000000001
2018-10-04,0.0,59.28000000000001
2018-10-05,0.0,59.28000000000001
2018-10-06,0.0,39.704285714285724
2018-10-07,0.0,39.704285714285724
2018-10-08,0.0,28.22142857142857
2018-10-09,0.0,28.22142857142857
2018-10-10,0.0,0.0
2018-10-11,0.0,0.0
2018-10-12,0.0,0.0
2018-10-13,0.0,0.0
2018-10-14,0.0,0.0
2018-10-15,0.0,0.0
2018-10-16,222.03,31.71857142857143
2018-10-17,89.71,44.534285714285716
